"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"image:LoadButtonLatest.png","export/LoadButtonLatest.png","final/ru/LoadButtonLatest.png"
"image:InkApproved.png","export/InkApproved.png","final/ru/InkApproved.png"
"image:InkDenied.png","export/InkDenied.png","final/ru/InkDenied.png"
"image:StampBotApproved.png","export/StampBotApproved.png","final/ru/StampBotApproved.png"
"image:StampBotDenied.png","export/StampBotDenied.png","final/ru/StampBotDenied.png"
"image:ReasonStampTop.png","export/ReasonStampTop.png","final/ru/ReasonStampTop.png"
"image:InkReason.png","export/InkReason.png","final/ru/InkReason.png"
"image:Arstotzka.png","export/Arstotzka.png","final/ru/Arstotzka.png"
"image:Intro1.png","export/Intro1.png","final/ru/Intro1.png"
"image:Obrinspector.png","export/Obrinspector.png","final/ru/Obrinspector.png"
"image:Shutter.png","export/Shutter.png","final/ru/Shutter.png"
"news:RANDOM_WEATHER","The Weather","Погода"
"news:RANDOM_SPORTS","Sports","Спорт"
"news:RANDOM_ENTERTAINMENT","Entertainment","Развлечения"
"news:RANDOM_POLITICS","Politics","Политика"
"news:FIRST_DAY","Grestin Border Checkpoint Opens At Last!","Пропускной пункт в Грештине открыт!"
"news:FIRST_DAY","After 6 Long Years. Can the Ministry of Admission Keep Us Safe?","Мы ждали 6 лет! Способно ли Минвъезда трезво оценить ситуацию?"
"news:FIRST_DAY","Families To Reunite","Воссоединение семей"
"news:CHECKPOINT_SUCCESS","Grestin Checkpoint a Success!","Пропускной пункт Грештин: история успеха"
"news:CHECKPOINT_SUCCESS","Entry Restrictions To Relax, Admit Foreigners","Правила стали мягче, разрешен въезд иностранцам"
"news:CHECKPOINT_SUCCESS","Analysts Upbeat","Аналитики настроены оптимистично"
"news:CHECKPOINT_SUCCESS","Increased Trade And Cooperation Predicted","Прогноз: развитие торговли и сотрудничества"
"news:FIRST_TERRORISTS","Terrorists Strike At Grestin!","Атака террористов в Грештине!"
"news:FIRST_TERRORISTS","Kolechian Agitators Suspected.","Подозреваются революционеры из Эндеронии"
"news:FIRST_TERRORISTS","Checkpoint Lockdown","Пропускной пункт укреплен"
"news:FIRST_TERRORISTS","More Guards - More Scrutiny","Больше солдат, больше мер безопасности"
"news:BLACKMARKET_EXPLODES","Blackmarket Activity Explodes","Расцвет черного рынка"
"news:BLACKMARKET_EXPLODES","Government Blames Lax Immigration Controls","Правительство винит во всем слишком мягкие законы о въезде"
"news:BLACKMARKET_EXPLODES","Checkpoint Expansion Postponed","Расширение пропускного пункта откладывается"
"news:WORKPERMIT_FIRST","Jobs Few, Becoming Fewer","Рабочих мест не хватает, дальше будет хуже"
"news:WORKPERMIT_FIRST","Immigrants Taking Jobs From Locals","Приезжие отнимают работу у местных жителей"
"news:KOLECHIA_COMPLAINS_SEARCH","Kolechian Leader Files Complaint","Премьер Эндеронии подал жалобу"
"news:KOLECHIA_COMPLAINS_SEARCH","Claims Unprovoked Border Searches Violate Rights","По его мнению, обыски на границе нарушают права граждан"
"news:AFTER_SUICIDE_BOMBER","Another Attack At Grestin Checkpoint!","Новое нападение в Грештине!"
"news:AFTER_SUICIDE_BOMBER","Suicide Bomber Slips Through Security","Камикадзе с бомбой обманул охрану"
"news:GENERIC_BOMBER","Grestin Suffers Another Border Attack","В Грештине совершено новое нападение"
"news:GENERIC_BOMBER","Suicide Bombings Becoming Routine","Террористы-самоубийцы становятся обыденным явлением"
"news:PIMP_BUSTED","Human Trafficking Ring Shut Down!","Нейтрализована банда работорговцев!"
"news:PIMP_BUSTED","Grestin Checkpoint Officer Nabs Mastermind","Инспектор пропускного пункта в Грештине задержал главаря"
"news:PIMP_ESCAPED","Dancers At Grestin Club Found Dead!","Клуб в Грештине: танцовщицы убиты!"
"news:PIMP_ESCAPED","Newly Immigrated Girls Victims Of Human Trafficking","Недавно приехавшие девушки - жертвы работорговцев"
"news:KILLERATHLETE","Republian Track Star Wanted For Murder!","Вил-ланд: знаменитый бегун стал убийцей"
"news:KILLERATHLETE","Vince Lestrade's Whereabouts Unknown - Has Likely Fled Republia","Винс Лестрейд скрылся - скорее всего, покинул Вил-ланд"
"news:KILLERATHLETE","Vince Lestrade: Profile","Винс Лестрейд: подробности"
"news:KILLERATHLETE","Girlfriend Killed In Jealous Rage?","Возлюбленная убита в припадке ревности?"
"news:KILLERATHLETE_DETAINED","Vince Lestrade Apprehended In Grestin!","Винс Лестрейд арестован в Грештине!"
"news:KILLERATHLETE_DETAINED","Track Champ Looks Quite Guilty Now","Сомнений в виновности знаменитого бегуна не осталось"
"news:KILLERATHLETE_APPROVED","Vince Lestrade Spotted in Arstotzka","Винс Лестрейд замечен в Тицкой Федерации"
"news:KILLERATHLETE_DENIED","Vince Lestrade Apprehended In Kolechia!","Винс Лестрейд арестован в Эндеронии!"
"news:DIPLOMAT_FIRST","Kolechia Sends Top-Level Diplomat","Визит видного эндеронского дипломата"
"news:DIPLOMAT_FIRST","Normalizing Trade Top Issue","Нормализация торговых отношений"
"news:BUSTED_SPY","Top-level Kolechian Exposed as Arstotzkan Spy!","Эндерония: чиновник - тицкий шпион!"
"news:BUSTED_SPY","Missing From Post, Presumed Dead","На службу не явился. Предположительно, мертв"
"news:BUSTED_SPY_GAVEREALDOCS","Kolechia Cleans House - Eliminates Arstotzkan Spies","Эндерорния избавляется от шпионов из ТФ"
"news:BUSTED_SPY_GAVEREALDOCS","Heroic Agents Compromised","Герои-разведчики раскрыты"
"news:BUSTED_SPY_GAVEFAKEDOCS","Kolechia Cleans House - Attacks Its Own!","Чистки в Эндеронии: и своих не щадят!"
"news:BUSTED_SPY_GAVEFAKEDOCS","Round Of Disappearances Blamed On Faulty Evidence","Причина исчезновений - недостаток улик"
"news:FORGERY_NEWS","Theft At Ministry Of Admission!","Кража в Министерстве въезда!"
"news:FORGERY_NEWS","Limited Effects - Few Items Stolen","Совершено несколько краж - катастрофы не случилось"
"news:SECRET_SOCIETY","The History of Arstotzka","История Тицкой Федерации"
"news:SECRET_SOCIETY","In Pictures and Words - Mostly Words","В словах и рисунках - но слов больше"
"news:CRIMINAL_ACTIVITY","A Criminal's Safe Haven","Бандиты нашли тихую гавань"
"news:CRIMINAL_ACTIVITY","Arstotzka Earns Dubious Reputation","Репутация Тицкой Федерации подмочена?"
"news:LOSING_GUARDS","Ministries Fight Over Staff","Министерства не могут поделить кадры"
"news:LOSING_GUARDS","Qualified Guards, Soldiers In Demand","Большой спрос на квалифицированных солдат и охранников"
"news:LOSING_GUARDS","Consolidation, Reassignment At Border","Реорганизация в пограничных войсках"
"news:LOSING_GUARDS","Still Safe With Smaller Detail?","Охраны стало меньше - а что с безопасностью?"
"news:RUNNER_AFTER_TRANQ","Grestin Incident Highlights Security Risks","Инцидент в Грештине: граница на замке?"
"news:RUNNER_AFTER_TRANQ","Further Breaches Predicted","Можно не сомневаться: граница будет нарушена снова"
"news:BIKE_ATTACK","Daring Bike Attack At Grestin Checkpoint!","Дерзкая мотоциклетная атака в Грештине!"
"news:BIKE_ATTACK","Extremists Growing Bolder - Grestin Like Magnet","Экстремисты наглеют - Грештин влечет их как магнит!"
"news:BORDER_TARGETED","Can The Wall Hold?","Выдержит ли стена?"
"news:BORDER_TARGETED","Border Safety Continually Questioned","Безопасность границы под вопросом"
"news:BIKERUNNER_NEWS","Coordinated Border Breach!","Организованная атака на границе!"
"news:BIKERUNNER_NEWS","Unknown Assailants Swamp Security","Неизвестные подавили охрану числом"
"news:NOSY_JOURNALIST_APPROVED","Arstotzka's Frail Border","Граница Тицкой Федерации уязвима"
"news:NOSY_JOURNALIST_APPROVED","United Fed Reporter Exposes Lax Protocols","Репортер из Микхаилии: пограничный контроль неэффективен!"
"news:NOSY_JOURNALIST_DENIED","Arstotzka's Iron Border","Граница Тицкой Федерации: железный занавес"
"news:NOSY_JOURNALIST_DENIED","Int. Media Reveals Entry Visa Bias","Предвзятое отношение при выдаче виз иностранным журналистам"
"news:IDSUPPLEMENT_INTRO","Another Bomber Slips Through!","Еще один террорист проник через границу!"
"news:IDSUPPLEMENT_INTRO","Immigrant Screening Falls Short","Халатность при досмотре въезжающих"
"news:IDSUPPLEMENT_INTRO","M.O.A. Gets New Director","В МВ новый директор"
"news:IDSUPPLEMENT_INTRO","Stricter Protocols Promised at Border","Процедура въезда будет ужесточена"
"news:WHISTLEBLOWER_SETUP0","Antegria Domestic Spying Exposed!","Зумернация шпионит за своими гражданами!"
"news:WHISTLEBLOWER_SETUP0","Whistleblower On The Run","Разоблачитель скрылся"
"news:WHISTLEBLOWER_SETUP1","Antegrian Whistleblower Denied Asylum In Republia","Вил-ланд отказала зумернационному разоблачителю в убежище"
"news:WHISTLEBLOWER_SETUP2","Antegrian Whistleblower Turned Away From United Fed","Микхаилия не приняла зумернационного разоблачителя"
"news:WHISTLEBLOWER_COMING","Antegrian Whistleblower Accepted By Arstotzka","ТФ приняла разоблачителя из Зумернации"
"news:WHISTLEBLOWER_COMING","Move Risks Angering Neighbors","Соседи могут рассердиться"
"news:WHISTLEBLOWER_IN","Antegrian Whistleblower Arrives - Disappears Immediately","Зумернационный разоблачитель прибыл - и исчез"
"news:WHISTLEBLOWER_OUT","Antegrian Whistleblower Turned Away - Whereabouts Unknown","Беглецу отказано во въезде - его местонахождение неизвестно"
"news:IMPOR_UNHAPPY","Impor Protests Unbalanced Trade Restrictions","Инсект. недоволен ограничениями в торговле"
"news:IMPOR_UNHAPPY","Claims Arstotzka Unfairly Taxes Imporian Goods","Пошлины на ввоз товаров из Инсект. в ТФ несправедливы?"
"news:IMPOR_SANCTIONS_START","Impor Begins Trade Sanctions!","Инсектериал налагает торговые санкции!"
"news:IMPOR_SANCTIONS_START","Immediately Restricts All Imports From Arstotzka","Немедленный запрет на импорт любых товаров из Тицкой Федерации"
"news:IMPOR_SANCTIONS_END","Impor Sanctions End!","Инсектериал отменяет санкции!"
"news:IMPOR_SANCTIONS_END","Over So Fast? What Happened?","Так быстро? Что случилось?"
"news:SURGERY_SETUP","Breakthrough Spinal Surgery Perfected","Уникальные операции на позвоночнике"
"news:SURGERY_SETUP","Only Possible With Arstotzkan Expertise","Их не умеют делать нигде, кроме Тицкой Федерации"
"news:VIRUS_PRIMER","Polio Resurfaces In United Fed","Новая вспышка полиомиелита в Микхаилии"
"news:VIRUS_PRIMER","Isolated Diagnosis Or Something More?","Отдельный случай или все серьезнее?"
"news:VIRUS_BAN_UNITED_FED","Full-blown Epidemic Threatens United Fed!","Микхаилии грозит полномасштабная эпидемия!"
"news:VIRUS_BAN_UNITED_FED","Previously Under Control, Polio Back With Vengeance","Полиомиелит возвращается - и готов мстить!"
"news:VIRUS_REQUIRE_CERT","Ministry of Health Acts To Protect Citizens","Минздоровья готово защитить граждан"
"news:VIRUS_REQUIRE_CERT","New Policy, Safeguards At Borders","Новые правила и контроль безопасности на границе"
"news:SERIAL_KILLER","Serial Child Killer Escapes United Fed Prison!","Мик.: серийный убийца детей бежал из тюрьмы!"
"news:SERIAL_KILLER","Simon Wens: An Arstotzkan Native - Returning Home?","Симон Венс: уроженец Тицкой Федерации возвращается домой?"
"news:SERIAL_KILLER_MURDERED","Bloody Scene In Gennistora!","Кровавое убийство в Геннисторе!"
"news:SERIAL_KILLER_MURDERED","Simon Wens Found Dead In Confusing Mess","Симон Венс найден мертвым, тело изуродованно"
"news:EZIC_ATTACK0","Grestin Metro Halted","Строительстов метро в Грештине остановлено"
"news:EZIC_ATTACK0","Tunnel Cave-in, Hints At Sabotage","Обрушение туннеля, возможна диверсия"
"news:EZIC_ATTACK1_GIFT","Gov't Headquarters In Paradizna Evacuated!","Правительство эвакуировано из Парадизны!"
"news:EZIC_ATTACK1_GIFT","Strange Gas Detected - Staff Safe, Records Missing","Газовая атака - чиновники в безопасности, документы похищены"
"news:EZIC_ATTACK1_NOGIFT","Head Minister Of Finance Missing!","Пропал глава Министерства финансов!"
"news:EZIC_ATTACK1_NOGIFT","Markets React With Fast Selling, Instability","Рынки: слив активов, потеря стабильности"
"news:POISONING","Mysterious Poison Hospitalizes Several!","Неизвестный яд, есть пострадавшие!"
"news:POISONING","Unnamed Immigrant Smuggles Deadly Agent","Приезжий сумел провезти смертельную отраву"
"news:MARKED_DIPLOMAT","Top-Level Talks Called","Переговоры на высшем уровне"
"news:MARKED_DIPLOMAT","Grestin Territory Remains Dividing Issue","Грештинский вопрос - конфликт не исчерпан"
"news:DIPLOMAT_SWAPPED","Kolechians Are Crazy","Эндеронцы сошли с ума"
"news:DIPLOMAT_SWAPPED","Bizarre Behavior From Top Negotiator Spoils Talks","Переговоры под угрозой из-за странного поведения чиновника"
"news:DIPLOMAT_ORIGINAL","A Tentative Understanding","Взаимопонимание возможно"
"news:DIPLOMAT_ORIGINAL","Kolechian Talks Establish Common Ground","Переговоры в Эндеронии: общие темы найдены"
"news:TALKS_BREAK_DOWN","Roadblock To Kolechian Resolution","Препятствие на пути эндеронских решений"
"news:TALKS_BREAK_DOWN","Contested City Drives Wedge","Спорный город стал причиной раскола"
"news:BORDER_CLOSING","Grestin Checkpoint Future Uncertain","Будущее пункта в Грештине пока не ясно"
"news:BORDER_CLOSING","Too Open, Too Soon?","Неужели мы поторопились... и перестарались?"
"text:language_code","en","loc"
"text:language_name","ENGLISH","РУССКИЙ"
"text:language_author","Author","69racing"
"text:wrap_hyphen","-","-"
"text:created_by","created by Lucas Pope","авторы 69racing"
"text:papers_please","Papers, please.","Ваши документы!"
"text:protocol_violated","Protocol Violated.","Нарушение правил"
"text:unauth_confiscation","Unauthorized passport confiscation","Паспорт изъят незаконно"
"text:missing_reason","Denial reason not given","Отказ без указания причин"
"text:citation_warning","WARNING ISSUED - NO PENALTY","ЗАМЕЧАНИЕ БЕЗ ШТРАФА"
"text:citation_lastwarning","LAST WARNING - NO PENALTY","ПОСЛЕДНЕЕ ЗАМЕЧАНИЕ БЕЗ ШТРАФА"
"text:citation_penalty","PENALTY ASSESSED - $0 CREDITS","НАЛОЖЕН ШТРАФ - $0 КРЕДИТОВ"
"text:border_next","NEXT!","СЛЕДУЮЩИЙ!"
"text:border_bomber","FOR KOLECHIA!","ЗА НАЙТОВСК!"
"text:border_comeback","COME BACK AT 6AM TOMORROW","ЖДЕМ ВАС ЗАВТРА В 6 ЧАСОВ УТРА"
"text:border_announce0","ENTRY IS NOT GUARANTEED","ВЪЕЗД НЕ ГАРАНТИРОВАН"
"text:border_announce1","HAVE YOUR DOCUMENTS READY","ГОТОВЬТЕ ДОКУМЕНТЫ ЗАРАНЕЕ"
"text:border_announce2","ARSTOTZKA WELCOMES YOU","ДОБРО ПОЖАЛОВАТЬ В ТИЦКУЮ ФЕДЕРАЦИЮ!"
"text:border_guardout","OUT!","ПРОЙДЕМТЕ!"
"text:border_elisa","ELISA!","ЭЛИЗА!"
"text:family_son_budget","SON","СЫН"
